model_id,endogenous_set,exogenous_set,var_lag_order,n_params,T_train,T_over_params,stability_pass,max_eig_modulus,whiteness_pvalue,cond_number,AIC,BIC,HQIC,relRMSE_GDP_h1,relRMSE_INF_h1,relRMSE_POLICY_h1,relRMSE_FX_h1,mean_relRMSE_h1,avg_rank_h1,relRMSE_GDP_h4,relRMSE_INF_h4,relRMSE_POLICY_h4,relRMSE_FX_h4,mean_relRMSE_h4,avg_rank_h4,passes_hard_filters
CORE+OIL(x),GDP+INF+POLICY+FX,OIL,2,40,126,3.15,True,0.8903,0.186,3.94e+03,3.526,4.426,3.892,0.8368,1.0756,1.1164,0.834,0.9657,1.5,0.703,0.9941,1.0023,0.8149,0.8786,1.75,True
CORE,GDP+INF+POLICY+FX,-,2,36,126,3.5,True,0.8947,0.445,1.62e+03,4.05,4.86,4.379,0.8988,1.1778,1.1924,0.8838,1.0382,2.75,0.7204,1.079,1.1298,0.7977,0.9317,2.25,True
CORE+INV,GDP+INF+POLICY+FX+INV,-,2,55,126,2.29,True,0.8951,0.1279,4.29e+03,8.344,9.582,8.847,0.9558,1.2319,1.3659,0.8243,1.0945,3.0,0.7414,1.1259,1.2884,0.7898,0.9864,2.75,False
CORE+FISCAL,GDP+INF+POLICY+FX+FISCAL,-,2,55,126,2.29,True,0.8959,0.1848,1.62e+03,6.219,7.457,6.722,0.9099,1.1882,1.3815,0.8521,1.083,3.5,0.8024,1.1716,1.4346,0.7855,1.0486,3.25,False
CORE+CONS,GDP+INF+POLICY+FX+CONS,-,2,55,126,2.29,True,0.8911,0.1095,1.72e+03,5.396,6.634,5.899,1.1714,1.2537,1.6465,0.8339,1.2264,4.25,1.7194,1.5373,2.6729,0.8242,1.6885,5.0,False
