model_id,rate_repr,endogenous_set,exogenous_set,var_lag,n_params,T_over_params,stability_pass,max_eig_modulus,whiteness_p,AIC,BIC,relRMSE_GDP_h1,relRMSE_INF_h1,relRMSE_FX_h1,mean_relRMSE_h1,mean_relRMSE_h4,rate_own_relRMSE_h1,passes_hard_filters,rk_GDP,rk_INF,rk_FX,avg_rank_h1
LVL:core+WEALTH+OIL(x)+TFP(x),level,GDP+INF+POLICY+FX+WEALTH,OIL+TFP,2,65,1.92,True,0.9151,0.0416,7.6,9.07,0.7383,1.0274,0.8261,0.864,0.8445,1.0908,False,2.0,1.0,1.0,1.3333333333333333
GAP:core+WEALTH+OIL(x),gap,GDP+INF+POLICY_GAP+FX+WEALTH,OIL,2,60,2.08,True,0.8637,0.0434,7.31,8.67,0.7227,1.0683,0.8394,0.8768,0.8426,0.8192,False,1.0,2.0,4.0,2.3333333333333335
LVL:core+OIL(x),level,GDP+INF+POLICY+FX,OIL,2,40,3.12,True,0.8971,0.1447,3.5,4.41,0.8372,1.0708,0.8367,0.9149,0.836,1.1212,True,3.0,3.0,3.0,3.0
GAP:core+OIL(x),gap,GDP+INF+POLICY_GAP+FX,OIL,2,40,3.12,True,0.8542,0.1509,3.21,4.11,0.8627,1.0795,0.8358,0.926,0.8462,0.7622,True,4.0,4.0,2.0,3.3333333333333335
GAP:core,gap,GDP+INF+POLICY_GAP+FX,-,2,36,3.47,True,0.8609,0.3489,3.71,4.53,0.9027,1.1689,0.8655,0.979,0.8522,0.8248,True,6.0,5.0,5.0,5.333333333333333
LVL:core,level,GDP+INF+POLICY+FX,-,2,36,3.47,True,0.9002,0.3963,4.02,4.83,0.8986,1.1793,0.8898,0.9892,0.8636,1.197,True,5.0,7.0,7.0,6.333333333333333
GAP:core+TFP(x),gap,GDP+INF+POLICY_GAP+FX,TFP,2,40,3.12,True,0.8616,0.4282,3.75,4.66,0.9187,1.1696,0.8667,0.985,0.8594,0.8417,True,7.0,6.0,6.0,6.333333333333333
LVL:core+TFP(x),level,GDP+INF+POLICY+FX,TFP,2,40,3.12,True,0.8933,0.4257,4.06,4.97,0.928,1.1816,0.8925,1.0007,0.8736,1.2321,True,8.0,8.0,8.0,8.0
