model,variable,h,n,RMSE,CRPS,LogScore,country
AR1,gdp_yoy,4,53,9.895,3.15,-6.51,UK
AR1,gdp_yoy,8,53,10.998,3.651,-7.324,UK
AR1,inflation_yoy,1,53,0.66,0.335,-1.182,UK
AR1,inflation_yoy,4,53,2.498,1.357,-5.271,UK
AR1,inflation_yoy,8,53,3.91,2.036,-6.95,UK
AR1,reer_yoy,1,53,3.103,1.724,-2.563,UK
AR1,reer_yoy,4,53,6.458,3.594,-3.395,UK
AR1,reer_yoy,8,53,6.163,3.467,-3.257,UK
AR1,y10,1,53,0.359,0.202,-0.464,UK
AR1,y10,4,53,1.013,0.604,-2.144,UK
AR1,y10,8,53,1.639,1.026,-3.57,UK
AR1,policy,1,53,0.305,0.168,-0.369,UK
AR1,policy,4,53,1.125,0.552,-1.923,UK
AR1,policy,8,53,1.848,0.938,-2.842,UK
VAR_OLS,gdp_yoy,1,53,11.458,3.887,-28.073,UK
VAR_OLS,gdp_yoy,4,53,175.832,29.55,-1375.292,UK
VAR_OLS,gdp_yoy,8,53,6320.034,874.998,-880034.397,UK
VAR_OLS,inflation_yoy,1,53,1.129,0.62,-5.278,UK
VAR_OLS,inflation_yoy,4,53,11.539,3.6,-153.852,UK
VAR_OLS,inflation_yoy,8,53,407.425,57.916,-96648.753,UK
VAR_OLS,reer_yoy,1,53,7.917,3.992,-7.012,UK
VAR_OLS,reer_yoy,4,53,55.671,17.701,-62.575,UK
VAR_OLS,reer_yoy,8,53,1973.529,279.402,-37336.505,UK
VAR_OLS,y10,1,53,0.832,0.423,-4.127,UK
VAR_OLS,y10,4,53,11.746,2.607,-239.113,UK
VAR_OLS,y10,8,53,441.797,62.321,-169100.881,UK
VAR_OLS,policy,1,53,0.814,0.435,-3.297,UK
VAR_OLS,policy,4,53,13.965,3.65,-290.724,UK
VAR_OLS,policy,8,53,529.287,76.237,-209883.54,UK
BVAR_noshock,gdp_yoy,1,53,5.498,1.767,-7.96,UK
BVAR_noshock,gdp_yoy,4,53,7.162,2.946,-7.518,UK
BVAR_noshock,gdp_yoy,8,53,6.048,2.799,-8.792,UK
BVAR_noshock,inflation_yoy,1,53,0.643,0.324,-1.079,UK
BVAR_noshock,inflation_yoy,4,53,2.163,1.168,-3.904,UK
BVAR_noshock,inflation_yoy,8,53,2.85,1.567,-4.968,UK
BVAR_noshock,reer_yoy,1,53,3.163,1.769,-2.632,UK
BVAR_noshock,reer_yoy,4,53,6.55,3.538,-3.453,UK
BVAR_noshock,reer_yoy,8,53,5.786,3.091,-3.203,UK
BVAR_noshock,y10,1,53,0.352,0.2,-0.422,UK
BVAR_noshock,y10,4,53,0.987,0.554,-1.724,UK
BVAR_noshock,y10,8,53,1.611,0.945,-2.523,UK
BVAR_noshock,policy,1,53,0.259,0.143,-0.177,UK
BVAR_noshock,policy,4,53,1.061,0.534,-1.54,UK
BVAR_noshock,policy,8,53,1.846,0.999,-2.253,UK
BVAR,gdp_yoy,1,53,5.51,1.778,-9.428,UK
BVAR,gdp_yoy,4,53,7.172,2.958,-6.943,UK
BVAR,gdp_yoy,8,53,5.898,2.715,-8.064,UK
BVAR,inflation_yoy,1,53,0.631,0.325,-1.061,UK
BVAR,inflation_yoy,4,53,2.135,1.166,-3.937,UK
BVAR,inflation_yoy,8,53,2.845,1.555,-4.772,UK
BVAR,reer_yoy,1,53,3.137,1.737,-2.577,UK
BVAR,reer_yoy,4,53,6.526,3.548,-3.441,UK
